CustomerID,CustomerName,Age,Gender,MaritalStatus,AnnualIncome_INR,EmploymentType,CreditScore,GeographicRegion
CUST-00001,Chirag Verma,59,Male,Married,1438000,Salaried Corporate,850,Pune
CUST-00002,Laxmi Jain,49,Female,Single,1059000,Government Employee,709,Bengaluru
CUST-00003,Chhavi Patil,35,Female,Married,978000,Self-Employed Professional,591,Kolkata
CUST-00004,Varun Joshi,63,Male,Married,772000,Self-Employed Professional,697,Chennai
CUST-00005,Ruchi Gupta,28,Female,Married,608000,Salaried Corporate,648,Mumbai
CUST-00006,Bharti Goel,41,Female,Married,846000,Salaried Corporate,838,Lucknow
CUST-00007,Anjali Banerjee,59,Female,Married,834000,Salaried Corporate,666,Pune
CUST-00008,Vaishali Khanna,39,Female,Single,699000,Salaried Corporate,850,Hyderabad
CUST-00009,Sandeep Bose,43,Male,Married,980000,Salaried Corporate,696,Delhi NCR
CUST-00010,Aanya Gill,31,Female,Divorced,1049000,Salaried Corporate,590,Mumbai
CUST-00011,Gaurav Deshmukh,31,Male,Married,587000,Self-Employed Professional,724,Kolkata
CUST-00012,Nishant Patel,44,Male,Married,1015000,Government Employee,638,Kolkata
CUST-00013,Nishant Mishra,56,Male,Single,1787000,Business Owner,784,Chennai
CUST-00014,Piyush Mishra,60,Male,Married,1428000,Salaried Corporate,675,Pune
CUST-00015,Pankaj Roy,44,Male,Single,1606000,Business Owner,587,Jaipur
CUST-00016,Amrita Dhawan,23,Female,Married,245000,Self-Employed Professional,727,Delhi NCR
CUST-00017,Ushma Pandey,42,Female,Single,804000,Self-Employed Professional,623,Bengaluru
CUST-00018,Piyush Joshi,22,Male,Married,1165000,Salaried Corporate,599,Jaipur
CUST-00019,Muskan Yadav,44,Female,Single,595000,Salaried Corporate,780,Delhi NCR
CUST-00020,Priyanka Mukherjee,64,Female,Single,968000,Government Employee,652,Bengaluru
CUST-00021,Anuj Gupta,50,Male,Married,1468000,Salaried Corporate,744,Chennai
CUST-00022,Manish Joshi,58,Male,Divorced,1139000,Salaried Corporate,736,Lucknow
CUST-00023,Bhumika Malhotra,22,Female,Divorced,240000,Salaried Corporate,788,Kolkata
CUST-00024,Sapna Yadav,41,Female,Married,1091000,Salaried Corporate,724,Delhi NCR
CUST-00025,Geeta Chawla,53,Female,Single,913000,Self-Employed Professional,654,Ahmedabad
CUST-00026,Kavita Shinde,32,Female,Married,890000,Government Employee,670,Jaipur
CUST-00027,Ayush Roy,42,Male,Married,1199000,Business Owner,728,Mumbai
CUST-00028,Gautam Chatterjee,64,Male,Married,1230000,Business Owner,752,Chennai
CUST-00029,Laxmi Aggarwal,45,Female,Married,1270000,Business Owner,751,Hyderabad
CUST-00030,Piyush Patel,47,Male,Married,1004000,Salaried Corporate,692,Lucknow
CUST-00031,Varsha Jain,62,Female,Single,1245000,Salaried Corporate,807,Lucknow
CUST-00032,Ankita Jain,48,Female,Married,908000,Salaried Corporate,787,Pune
CUST-00033,Nidhi Kapoor,36,Female,Single,640000,Salaried Corporate,683,Chennai
CUST-00034,Archana Goel,35,Female,Married,1329000,Business Owner,738,Chennai
CUST-00035,Vineet Kulkarni,67,Male,Divorced,821000,Salaried Corporate,722,Kolkata
CUST-00036,Sneha Kapoor,64,Female,Married,1016000,Salaried Corporate,794,Jaipur
CUST-00037,Sapna Pathak,23,Female,Single,369000,Salaried Corporate,725,Hyderabad
CUST-00038,Ekta Shah,57,Female,Married,1129000,Self-Employed Professional,750,Jaipur
CUST-00039,Varsha Chatterjee,27,Female,Single,348000,Self-Employed Professional,718,Mumbai
CUST-00040,Yash Mehra,41,Male,Married,812000,Government Employee,719,Jaipur
CUST-00041,Rashmi Chawla,29,Female,Married,484000,Salaried Corporate,718,Ahmedabad
